maps,Nama,Rating,Banyak Ulasan,Alamat,LATITUDE,LONGITUDE
https://www.google.com/maps/place/KFC+AHMAD+YANI+SURABAYA/data=!4m7!3m6!1s0x2dd7fb75b2a0b091:0x7991751e1cec4b1a!8m2!3d-7.319361!4d112.732494!16s%2Fg%2F1jky8qgf7!19sChIJkbCgsnX71y0RGkvsHB51kXk?authuser=0&hl=en&rclk=1,KFC AHMAD YANI SURABAYA,4.3,"-10,012",Jl. Ahmad Yani No.76 - 86,-7.319361,112.732494
https://www.google.com/maps/place/KFC+Adityawarman+Surabaya/data=!4m7!3m6!1s0x2dd7fb913c353b0d:0xc6892c6aaa2deff5!8m2!3d-7.2948478!4d112.731644!16s%2Fg%2F12ml2yp8j!19sChIJDTs1PJH71y0R9e8tqmosicY?authuser=0&hl=en&rclk=1,KFC Adityawarman Surabaya,4.4,"-5,954",Jl. Adityawarman No.G34-G45 G34-G45,-7.2948478,112.731644
https://www.google.com/maps/place/KFC+-+Raya+Darmo/data=!4m7!3m6!1s0x2dd7fb957e175a1f:0x12305fb204c2eaec!8m2!3d-7.289642!4d112.739292!16s%2Fg%2F1tk_rlcs!19sChIJH1oXfpX71y0R7OrCBLJfMBI?authuser=0&hl=en&rclk=1,KFC - Raya Darmo,4.3,"-5,932",Jl. Raya Darmo No.101,-7.289642,112.739292
https://www.google.com/maps/place/KFC/data=!4m7!3m6!1s0x2dd7fa33fa598ff9:0x2c99d82562b5d8f4!8m2!3d-7.2806245!4d112.7697944!16s%2Fg%2F11b620d09v!19sChIJ-Y9Z-jP61y0R9Ni1YiXYmSw?authuser=0&hl=en&rclk=1,KFC,4.3,"-6,620",Jl. Manyar Kertoarjo No.92-94,-7.2806245,112.7697944
https://www.google.com/maps/place/KFC/data=!4m7!3m6!1s0x2dd7fa1d7db0c835:0x36415e867c7fae3b!8m2!3d-7.2664132!4d112.796358!16s%2Fg%2F1hm3hdflm!19sChIJNciwfR361y0RO65_fIZeQTY?authuser=0&hl=en&rclk=1,KFC,4.3,"-4,028",Jl. Raya Mulyosari No.121 Blok AA,-7.2664132,112.796358
https://www.google.com/maps/place/KFC+Geluran+Sidoarjo/data=!4m7!3m6!1s0x2dd7e35c50145c13:0x81e89967cf03065a!8m2!3d-7.3564923!4d112.692588!16s%2Fg%2F11v19gdy3l!19sChIJE1wUUFzj1y0RWgYDz2eZ6IE?authuser=0&hl=en&rclk=1,KFC Geluran Sidoarjo,4.1,-384,Jl. Raya Geluran No.124b,-7.3564923,112.692588
https://www.google.com/maps/place/KFC/data=!4m7!3m6!1s0x2dd7fbefa68cff69:0x5563fb5e8a301ff7!8m2!3d-7.2793476!4d112.7297529!16s%2Fg%2F11b6ch1rh6!19sChIJaf-Mpu_71y0R9x8wil77Y1U?authuser=0&hl=en&rclk=1,KFC,4.2,"-3,893","Jl. Diponegoro No.217 006, RT.006/RW.10",-7.2793476,112.7297529
https://www.google.com/maps/place/KFC+-+City+of+Tomorrow+Mall/data=!4m7!3m6!1s0x2dd7fbf98304ec49:0xbe800b15b85db555!8m2!3d-7.345362!4d112.72786!16s%2Fg%2F11lkz7rf1q!19sChIJSewEg_n71y0RVbVduBULgL4?authuser=0&hl=en&rclk=1,KFC - City of Tomorrow Mall,4.5,-10,"DEPAN BUNDARAN, Jl. Ahmad Yani Jl. Tol Waru - Juanda",-7.345362,112.72786
https://www.google.com/maps/place/KFC+Sarinah+Malang/data=!4m7!3m6!1s0x2dd62916c5e1f1ad:0xbb9342cbb41e9096!8m2!3d-7.981212!4d112.630738!16s%2Fg%2F11cjgk4dc4!19sChIJrfHhxRYp1i0RlpAetMtCk7s?authuser=0&hl=en&rclk=1,KFC Sarinah Malang,4.4,"-2,916",Jl. Jenderal Basuki Rahmat No.2,-7.981212,112.630738
https://www.google.com/maps/place/KFC+Jember/data=!4m7!3m6!1s0x2dd6941b51ff752d:0xa4608f0b349b338f!8m2!3d-8.1726589!4d113.6907882!16s%2Fg%2F1jkygt8gk!19sChIJLXX_URuU1i0RjzObNAuPYKQ?authuser=0&hl=en&rclk=1,KFC Jember,4.4,"-4,267",Jl. Gajah Mada No.74,-8.1726589,113.6907882
https://www.google.com/maps/place/KFC+Merr+Surabaya/data=!4m7!3m6!1s0x2dd7fb2a40a9ae4f:0x84a343dde01c745b!8m2!3d-7.2978113!4d112.7817114!16s%2Fg%2F11ld8g9706!19sChIJT66pQCr71y0RW3Qc4N1Do4Q?authuser=0&hl=en&rclk=1,KFC Merr Surabaya,3.6,-390,Jl. Dr. Ir. H. Soekarno,-7.2978113,112.7817114
https://www.google.com/maps/place/KFC/data=!4m7!3m6!1s0x2e78829d83fad151:0x3b4281f072cd288a!8m2!3d-7.9751402!4d112.6195461!16s%2Fg%2F1td22wcc!19sChIJUdH6g52CeC4RiijNcvCBQjs?authuser=0&hl=en&rclk=1,KFC,4.4,"-8,778",Jl. Kawi Atas No.38,-7.9751402,112.6195461
https://www.google.com/maps/place/KFC/data=!4m7!3m6!1s0x2dd7f90eebc4d361:0x113d7eab9381625d!8m2!3d-7.2099841!4d112.7362822!16s%2Fg%2F11lkz6z57n!19sChIJYdPE6w751y0RXWKBk6t-PRE?authuser=0&hl=en&rclk=1,KFC,3.7,-72,Jl. Prapat Kurung Selatan Tj. Perak (Surabaya) - Benoa No.1,-7.2099841,112.7362822
https://www.google.com/maps/place/KFC+Mojokerto/data=!4m7!3m6!1s0x2e780df4c182854d:0x26bf511cf9901548!8m2!3d-7.4639551!4d112.4354727!16s%2Fg%2F1hm1wcf3_!19sChIJTYWCwfQNeC4RSBWQ-RxRvyY?authuser=0&hl=en&rclk=1,KFC Mojokerto,4.4,"-3,323",Jl. Letkol Sumarjo No.67,-7.4639551,112.4354727
https://www.google.com/maps/place/KFC+BG+Junction+Surabaya/data=!4m7!3m6!1s0x2dd7f94415555555:0xa129f9bcbf2178b7!8m2!3d-7.255718!4d112.733829!16s%2Fg%2F12ml2y1gl!19sChIJVVVVFUT51y0Rt3ghv7z5KaE?authuser=0&hl=en&rclk=1,KFC BG Junction Surabaya,4.4,"-1,146",Jl. Bubutan No.1 - 7,-7.255718,112.733829
https://www.google.com/maps/place/KFC/data=!4m7!3m6!1s0x2dd7e1a7b7098b2b:0x838e52882fb98cd!8m2!3d-7.449911!4d112.7106443!16s%2Fg%2F11n00mcq8h!19sChIJK4sJt6fh1y0RzZj7gijlOAg?authuser=0&hl=en&rclk=1,KFC,5.0,-1,Jl. Pahlawan No.01,-7.449911,112.7106443
https://www.google.com/maps/place/KFC+Sun+East+Banyuwangi/data=!4m7!3m6!1s0x2dd15542d2198339:0x364ee95d43673607!8m2!3d-8.3641432!4d114.1477353!16s%2Fg%2F11gk8srr06!19sChIJOYMZ0kJV0S0RBzZnQ13pTjY?authuser=0&hl=en&rclk=1,KFC Sun East Banyuwangi,4.3,-597,Open,-8.3641432,114.1477353
https://www.google.com/maps/place/KFC+Roxy+S%27+market+Banyuwangi/data=!4m7!3m6!1s0x2dd1452ec50d4889:0x423f743f5b58a263!8m2!3d-8.2178543!4d114.3696891!16s%2Fg%2F11vwf2p_vj!19sChIJiUgNxS5F0S0RY6JYWz90P0I?authuser=0&hl=en&rclk=1,KFC Roxy S' market Banyuwangi,4.0,-1,Jl. Jend. Sudirman a No.101,-8.2178543,114.3696891
https://www.google.com/maps/place/KFC+Soekarno+Hatta+Malang/data=!4m7!3m6!1s0x2dd629e55b168655:0x30248a06770d3d67!8m2!3d-7.9384127!4d112.6287598!16s%2Fg%2F11pvbctlmq!19sChIJVYYWW-Up1i0RZz0NdwaKJDA?authuser=0&hl=en&rclk=1,KFC Soekarno Hatta Malang,4.3,"-1,695",Jl. Soekarno Hatta No.34a,-7.9384127,112.6287598
https://www.google.com/maps/place/KFC+Sidoarjo/data=!4m7!3m6!1s0x2dd7e3e733396275:0x74d72a49bc16fe5!8m2!3d-7.425728!4d112.693355!16s%2Fg%2F11b6yf9ls4!19sChIJdWI5M-fj1y0R5W_Bm6RyTQc?authuser=0&hl=en&rclk=1,KFC Sidoarjo,4.2,"-4,412","Jl. Tol Surabaya - Gempol KM. 26, Sidokepung, Buduran",-7.425728,112.693355
https://www.google.com/maps/place/KFC/data=!4m7!3m6!1s0x2dd7f962f3cee77d:0x53520f5a51f6fc5b!8m2!3d-7.2643431!4d112.7482358!16s%2Fg%2F1tqks3s6!19sChIJfefO82L51y0RW_z2UVoPUlM?authuser=0&hl=en&rclk=1,KFC,4.4,"-2,272",Jl. Pemuda No.31-71,-7.2643431,112.7482358
https://www.google.com/maps/place/KFC/data=!4m7!3m6!1s0x2dd7fb4d0f9c4617:0x73cd58bf8d55936c!8m2!3d-7.309283!4d112.734515!16s%2Fg%2F1hm6bhgv_!19sChIJF0acD0371y0RbJNVjb9YzXM?authuser=0&hl=en&rclk=1,KFC,4.2,"-1,042",Jl. Ahmad Yani No.16-18,-7.309283,112.734515
https://www.google.com/maps/place/KFC+Pondok+Chandra/data=!4m7!3m6!1s0x2dd7fad74e75e0fb:0x3b603a849a4ab67f!8m2!3d-7.3408337!4d112.768346!16s%2Fg%2F12ml2xzd3!19sChIJ--B1Ttf61y0Rf7ZKmoQ6YDs?authuser=0&hl=en&rclk=1,KFC Pondok Chandra,4.2,"-5,179",Jl. Raya Rungkut Menanggal No.65,-7.3408337,112.768346
https://www.google.com/maps/place/KFC+Tuban/data=!4m7!3m6!1s0x2e77bd5461ee87ef:0xb6f1e2aefa33ae35!8m2!3d-6.8955818!4d112.0505151!16s%2Fg%2F11bw61nsl_!19sChIJ74fuYVS9dy4RNa4z-q7i8bY?authuser=0&hl=en&rclk=1,KFC Tuban,4.3,"-2,247",Jl. Basuki Rachmad No.260,-6.8955818,112.0505151
https://www.google.com/maps/place/KFC+Probolinggo/data=!4m7!3m6!1s0x2dd7ad0995555555:0x8f33c05c5663a211!8m2!3d-7.7533057!4d113.2154548!16s%2Fg%2F12ml2xyw8!19sChIJVVVVlQmt1y0REaJjVlzAM48?authuser=0&hl=en&rclk=1,KFC Probolinggo,4.3,"-3,224",Jl. Suroyo No.1,-7.7533057,113.2154548
https://www.google.com/maps/place/KFC+Linggajati+Plaza+Jombang/data=!4m7!3m6!1s0x2e786aaa79d51197:0xa13fdb6f0fb8be6e!8m2!3d-7.539216!4d112.2385962!16s%2Fg%2F11c486btr7!19sChIJlxHVeapqeC4Rbr64D2_bP6E?authuser=0&hl=en&rclk=1,KFC Linggajati Plaza Jombang,4.3,"-1,634",Jl. KH. Wahid Hasyim No.216 B,-7.539216,112.2385962
https://www.google.com/maps/place/KFC+-+City+of+Tommorow/data=!4m7!3m6!1s0x2dd7f9416aaaaaab:0x3c1c16e8e6f977b3!8m2!3d-7.3449039!4d112.7272264!16s%2Fg%2F12ml2yl6l!19sChIJq6qqakH51y0Rs3f55ugWHDw?authuser=0&hl=en&rclk=1,KFC - City of Tommorow,4.2,-635,Jl. Ahmad Yani No.288,-7.3449039,112.7272264
https://www.google.com/maps/place/KFC/data=!4m7!3m6!1s0x2dd7e18f16c9f479:0x53abd06e648b5daa!8m2!3d-7.451459!4d112.714197!16s%2Fg%2F11qplg8mx5!19sChIJefTJFo_h1y0Rql2LZG7Qq1M?authuser=0&hl=en&rclk=1,KFC,4.7,-40,"Mal Sidoarjo, Jl. Diponegoro No.2",-7.451459,112.714197
https://www.google.com/maps/place/KFC+-+Wiyung/data=!4m7!3m6!1s0x2dd7fd00ba8a637d:0x5620fd0546174b8d!8m2!3d-7.3139935!4d112.6965569!16s%2Fg%2F11trpkr_ng!19sChIJfWOKugD91y0RjUsXRgX9IFY?authuser=0&hl=en&rclk=1,KFC - Wiyung,4.2,-711,Taman Pd. Indah,-7.3139935,112.6965569
https://www.google.com/maps/place/KFC+Roxy+Jember/data=!4m7!3m6!1s0x2dd69155f8081dff:0xf26c6ef5712b7dce!8m2!3d-8.1848339!4d113.6629344!16s%2Fg%2F11cmxsl61q!19sChIJ_x0I-FWR1i0Rzn0rcfVubPI?authuser=0&hl=en&rclk=1,KFC Roxy Jember,4.5,"-2,925",Fried chicken restaurant chain,-8.1848339,113.6629344
https://www.google.com/maps/place/KFC+Malang+Town+Square/data=!4m7!3m6!1s0x2dd629d5825528e3:0xa157f580b98dfcb2!8m2!3d-7.9573734!4d112.6188289!16s%2Fg%2F1ts2lykd!19sChIJ4yhVgtUp1i0RsvyNuYD1V6E?authuser=0&hl=en&rclk=1,KFC Malang Town Square,4.3,"-2,093",Jl. Veteran No.2,-7.9573734,112.6188289
https://www.google.com/maps/place/KFC+Lawu+Plaza+Madiun/data=!4m7!3m6!1s0x2e79be5780f92f47:0xfb8be1d6416d0dda!8m2!3d-7.6267254!4d111.5202182!16s%2Fg%2F12ml2y2pz!19sChIJRy_5gFe-eS4R2g1tQdbhi_s?authuser=0&hl=en&rclk=1,KFC Lawu Plaza Madiun,4.4,"-2,622",Jl. Pahlawan No.47,-7.6267254,111.5202182
https://www.google.com/maps/place/KFC/data=!4m7!3m6!1s0x2e7881bf6744ac7f:0xa99cab44e39d7d4a!8m2!3d-7.878443!4d112.534227!16s%2Fg%2F11h22904_x!19sChIJf6xEZ7-BeC4RSn2d40SrnKk?authuser=0&hl=en&rclk=1,KFC,4.3,"-1,243",Jl. Diponegoro No.1,-7.878443,112.534227
https://www.google.com/maps/place/KFC+Sidoarjo/data=!4m7!3m6!1s0x2dd7e6ccfb53d22b:0x660acf695ab9bf1b!8m2!3d-7.4553885!4d112.7172775!16s%2Fg%2F11h0l42_1!19sChIJK9JT-8zm1y0RG7-5WmnPCmY?authuser=0&hl=en&rclk=1,KFC Sidoarjo,4.3,"-2,477",Jl. Gajah Mada No.82,-7.4553885,112.7172775
https://www.google.com/maps/place/KFC/data=!4m7!3m6!1s0x2dd14532c8695931:0xc955b34916cb35b!8m2!3d-8.2183092!4d114.3697632!16s%2Fg%2F12mkzkdcv!19sChIJMVlpyDJF0S0RW7NskTRblQw?authuser=0&hl=en&rclk=1,KFC,4.2,"-1,923",Jl. Jenderal Ahmad Yani No.21 - 23,-8.2183092,114.3697632
https://www.google.com/maps/place/KFC/data=!4m7!3m6!1s0x2e78ec66518f4cdf:0xa1daa3a1334f2113!8m2!3d-8.0923929!4d112.1809455!16s%2Fg%2F11bwm6djjz!19sChIJ30yPUWbseC4REyFPM6Gj2qE?authuser=0&hl=en&rclk=1,KFC,4.3,"-3,197",Jl. S. Supriadi No.61-63,-8.0923929,112.1809455
https://www.google.com/maps/place/KFC/data=!4m7!3m6!1s0x2e78e36b43a4096b:0xad657697a01b007e!8m2!3d-8.0686761!4d111.9016927!16s%2Fg%2F11g9q7mvzg!19sChIJawmkQ2vjeC4RfgAboJd2Za0?authuser=0&hl=en&rclk=1,KFC,4.4,"-1,825",Jl. Pangeran Diponegoro No.96,-8.0686761,111.9016927
https://www.google.com/maps/place/KFC/data=!4m7!3m6!1s0x2e77f0af82d60515:0x3d4111f1497663be!8m2!3d-7.1130905!4d112.4199404!16s%2Fg%2F1hm54bt2g!19sChIJFQXWgq_wdy4RvmN2SfERQT0?authuser=0&hl=en&rclk=1,KFC,4.2,"-2,841",Jl. Panglima Sudirman,-7.1130905,112.4199404
https://www.google.com/maps/place/KFC+Supermall+Pakuwon/data=!4m7!3m6!1s0x2dd7fa0933de20fd:0x15643a1ea53890a6!8m2!3d-7.2907326!4d112.6750284!16s%2Fg%2F12ml2yksh!19sChIJ_SDeMwn61y0RppA4pR46ZBU?authuser=0&hl=en&rclk=1,KFC Supermall Pakuwon,4.2,"-1,046","Supermall Pakuwon Lantai B1, Jl. Puncak Indah Lontar No. 2, Babatan, Wiyung, Kota SBY",-7.2907326,112.6750284
https://www.google.com/maps/place/KFC/data=!4m7!3m6!1s0x2dd800701c9cce7f:0x137c4bde4a2e75ee!8m2!3d-7.1626807!4d112.6314581!16s%2Fg%2F11b6jky1wr!19sChIJf86cHHAA2C0R7nUuSt5LfBM?authuser=0&hl=en&rclk=1,KFC,4.3,"-2,885",Jl. Dr. Wahidin Sudirohusodo No.138,-7.1626807,112.6314581
https://www.google.com/maps/place/KFC+Tunjungan+Plaza+III/data=!4m7!3m6!1s0x2dd7f960eaefe2cb:0x22000cb2dd9025ca!8m2!3d-7.2633686!4d112.739418!16s%2Fg%2F12ml2y3b4!19sChIJy-Lv6mD51y0RyiWQ3bIMACI?authuser=0&hl=en&rclk=1,KFC Tunjungan Plaza III,4.2,"-1,122",Jl. Basuki Rahmat No.08 - 12,-7.2633686,112.739418
https://www.google.com/maps/place/KFC/data=!4m7!3m6!1s0x2e78439bfc5548df:0xa022f467e0ec8941!8m2!3d-7.827681!4d112.0109186!16s%2Fg%2F1jkyj4634!19sChIJ30hV_JtDeC4RQYns4Gf0IqA?authuser=0&hl=en&rclk=1,KFC,4.4,"-2,929",Jl. Brigjen Katamso No.1 A,-7.827681,112.0109186
https://www.google.com/maps/place/KFC+-+ITC+Mega+Grosir/data=!4m7!3m6!1s0x2dd7f9416aaaaaab:0x991a22ad35b1061a!8m2!3d-7.2420265!4d112.7466492!16s%2Fg%2F12ml2y180!19sChIJq6qqakH51y0RGgaxNa0iGpk?authuser=0&hl=en&rclk=1,KFC - ITC Mega Grosir,4.4,-705,"ITC Surabaya Mega Grosir Ground Floor, Jl. Gembong No.20-30",-7.2420265,112.7466492
https://www.google.com/maps/place/KFC+City+Plaza+Sidoarjo/data=!4m7!3m6!1s0x2dd7e134d389e5f9:0xf148fcf1ccecfd25!8m2!3d-7.4513895!4d112.7148429!16s%2Fg%2F12ml2yltm!19sChIJ-eWJ0zTh1y0RJf3szPH8SPE?authuser=0&hl=en&rclk=1,KFC City Plaza Sidoarjo,4.0,-726,"City Plaza, Jl. Pahlawan No., 1",-7.4513895,112.7148429
https://www.google.com/maps/place/KFC+Sri+Ratu+Madiun/data=!4m7!3m6!1s0x2e79bf30a2d17259:0xdf2859448d41dee1!8m2!3d-7.626864!4d111.5204306!16s%2Fg%2F11vymc84c_!19sChIJWXLRojC_eS4R4d5BjURZKN8?authuser=0&hl=en&rclk=1,KFC Sri Ratu Madiun,,,"Jl. Pahlawan No.47, Kartoharjo, Kec. Kartoharjo Kota Madiun, Jawa Timur 63117",-7.626864,111.5204306
https://www.google.com/maps/place/KFC+Taman+Dayu/data=!4m7!3m6!1s0x2dd7c5b7db197897:0x970d21dd9a7a097d!8m2!3d-7.6670401!4d112.6999705!16s%2Fg%2F12ml2y097!19sChIJl3gZ27fF1y0RfQl6mt0hDZc?authuser=0&hl=en&rclk=1,KFC Taman Dayu,4.3,"-6,600",Jl. Raya Surabaya - Malang No.KM. 48,-7.6670401,112.6999705
https://www.google.com/maps/place/KFC/data=!4m7!3m6!1s0x2dd7f9416aaaaaab:0xea071f9f27535c52!8m2!3d-7.2921217!4d112.72038!16s%2Fg%2F12ml2yprb!19sChIJq6qqakH51y0RUlxTJ58fB-o?authuser=0&hl=en&rclk=1,KFC,4.4,-616,"CIPUTRA WORLD FOOD COURT LANTAI 3 unit 38-39, Jalan M Sungkono No.89",-7.2921217,112.72038
https://www.google.com/maps/place/KFC/data=!4m7!3m6!1s0x2dd7f913c1e3f019:0x88e10b45c17963fa!8m2!3d-7.240857!4d112.74598!16s%2Fg%2F12ml2y1q7!19sChIJGfDjwRP51y0R-mN5wUUL4Yg?authuser=0&hl=en&rclk=1,KFC,4.4,-39,Jalan BUNGURAN NO. 35 B ( GROUND FLOOR,-7.240857,112.74598
https://www.google.com/maps/place/KFC+Sun+City+Madiun/data=!4m7!3m6!1s0x2e79bfaead3f54d9:0x776294e063a57f40!8m2!3d-7.622217!4d111.5359551!16s%2Fg%2F11h4fj4hrx!19sChIJ2VQ_ra6_eS4RQH-lY-CUYnc?authuser=0&hl=en&rclk=1,KFC Sun City Madiun,4.3,-377,Open,-7.622217,111.5359551
https://www.google.com/maps/place/KFC+Sun+City+Plaza/data=!4m7!3m6!1s0x2dd7e1163c83b9d3:0x156427d777b1faf6!8m2!3d-7.449084!4d112.7125751!16s%2Fg%2F11h889mqtm!19sChIJ07mDPBbh1y0R9vqxd9cnZBU?authuser=0&hl=en&rclk=1,KFC Sun City Plaza,3.9,-372,HP27+827,-7.449084,112.7125751
https://www.google.com/maps/place/KFC/data=!4m7!3m6!1s0x2dd805e3c158595b:0xfb3acfa2a927da0!8m2!3d-7.0271038!4d112.7548161!16s%2Fg%2F11f6y7ntwn!19sChIJW1lYweMF2C0RoH2SKvqssw8?authuser=0&hl=en&rclk=1,KFC,4.3,-444,Jl. Trunojoyo,-7.0271038,112.7548161
https://www.google.com/maps/place/KFC+Box+Ramayana+kediri/data=!4m7!3m6!1s0x2e7857f66b5d89cf:0xc3b4fd922c735ff5!8m2!3d-7.8226432!4d112.0111658!16s%2Fg%2F11hz5bqbt_!19sChIJz4lda_ZXeC4R9V9zLJL9tMM?authuser=0&hl=en&rclk=1,KFC Box Ramayana kediri,4.3,-170,Jl. Panglima Sudirman No.50,-7.8226432,112.0111658
